=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.11.09 21:12:00 =~=~=~=~=~=~=~=~=~=~=~=
12
9	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 56	 output = 13
sensor = 57	 output = 14
sensor = 59	 output = 14
sensor = 57	 output = 14
sensor = 56	 output = 13
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 58	 output = 14
sensor = 57	 output = 14
sensor = 59	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 56	 output = 13
sensor = 56	 output = 13
sensor = 56	 output = 13
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 56	 output = 13
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 56	 output = 13
sensor = 58	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 56	 output = 13
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 56	 output = 13
sensor = 58	 output = 14
sensor = 56	 output = 13
sensor = 55	 output = 13
sensor = 54	 output = 13
sensor = 57	 output = 14
sensor = 68	 output = 16
sensor = 85	 output = 21
sensor = 111	 output = 27
sensor = 147	 output = 36
sensor = 176	 output = 43
sensor = 199	 output = 49
sensor = 206	 output = 51
sensor = 202	 output = 50
sensor = 187	 output = 46
sensor = 173	 output = 43
sensor = 154	 output = 38
sensor = 142	 output = 35
sensor = 154	 output = 38
sensor = 174	 output = 43
sensor = 186	 output = 46
sensor = 192	 output = 47
sensor = 185	 output = 46
sensor = 168	 output = 41
sensor = 149	 output = 37
sensor = 126	 output = 31
sensor = 102	 output = 25
sensor = 82	 output = 20
sensor = 70	 output = 17
sensor = 66	 output = 16
sensor = 62	 output = 15
sensor = 62	 output = 15
sensor = 73	 output = 18
sensor = 80	 output = 19
sensor = 82	 output = 20
sensor = 77	 output = 19
sensor = 68	 output = 16
sensor = 64	 output = 15
sensor = 63	 output = 15
sensor = 73	 output = 18
sensor = 86	 output = 21
sensor = 98	 output = 24
sensor = 112	 output = 27
sensor = 104	 output = 25
sensor = 89	 output = 22
sensor = 82	 output = 20
sensor = 81	 output = 20
sensor = 81	 output = 20
sensor = 79	 output = 19
sensor = 83	 output = 20
sensor = 89	 output = 22
sensor = 97	 output = 24
sensor = 107	 output = 26
sensor = 120	 output = 29
sensor = 129	 output = 32
sensor = 136	 output = 33
sensor = 148	 output = 36
sensor = 156	 output = 38
sensor = 165	 output = 41
sensor = 170	 output = 42
sensor = 172	 output = 42
sensor = 176	 output = 43
sensor = 174	 output = 43
sensor = 173	 output = 43
sensor = 171	 output = 42
sensor = 170	 output = 42
sensor = 169	 output = 42
sensor = 171	 output = 42
sensor = 165	 output = 41
sensor = 159	 output = 39
sensor = 154	 output = 38
sensor = 150	 output = 37
sensor = 146	 output = 36
sensor = 147	 output = 36
sensor = 155	 output = 38
sensor = 165	 output = 41
sensor = 176	 output = 43
sensor = 184	 output = 45
sensor = 191	 output = 47
sensor = 196	 output = 48
sensor = 196	 output = 48
sensor = 196	 output = 48
sensor = 193	 output = 48
sensor = 186	 output = 46
sensor = 172	 output = 42
sensor = 148	 output = 36
sensor = 124	 output = 30
sensor = 105	 output = 26
sensor = 91	 output = 22
sensor = 82	 output = 20
sensor = 77	 output = 19
sensor = 74	 output = 18
sensor = 73	 output = 18
sensor = 74	 output = 18
sensor = 73	 output = 18
sensor = 75	 output = 18
sensor = 75	 output = 18
sensor = 76	 output = 18
sensor = 77	 output = 19
sensor = 80	 output = 19
sensor = 82	 output = 20
sensor = 85	 output = 21
sensor = 85	 output = 21
sensor = 84	 output = 20
sensor = 82	 output = 20
sensor = 78	 output = 19
sensor = 76	 output = 18
sensor = 70	 output = 17
sensor = 67	 output = 16
sensor = 61	 output = 15
sensor = 58	 output = 14
sensor = 57	 output = 14
sensor = 53	 output = 13
sensor = 53	 output = 13
sensor = 52	 output = 12
sensor = 50	 output = 12
sensor = 52	 output = 12
sensor = 54	 output = 13
sensor = 54	 output = 13
sensor = 56	 output = 13
sensor = 65	 output = 16
sensor = 92	 output = 22
sensor = 122	 output = 30
sensor = 126	 output = 31
sensor = 104	 output = 25
sensor = 115	 output = 28
sensor = 142	 output = 35
sensor = 167	 output = 41
sensor = 184	 output = 45
sensor = 199	 output = 49
sensor = 210	 output = 52
sensor = 216	 output = 53
sensor = 214	 output = 53
sensor = 211	 output = 52
sensor = 204	 output = 50
sensor = 198	 output = 49
sensor = 191	 output = 47
sensor = 183	 output = 45
sensor = 174	 output = 43
sensor = 165	 output = 41
sensor = 154	 output = 38
sensor = 141	 output = 35
sensor = 135	 output = 33
sensor = 130	 output = 32
sensor = 125	 output = 31
sensor = 120	 output = 29
sensor = 115	 output = 28
sensor = 110	 output = 27
sensor = 107	 output = 26
sensor = 105	 output = 26
sensor = 104	 output = 25
sensor = 99	 output = 24
sensor = 98	 output = 24
sensor = 95	 output = 23
sensor = 91	 output = 22
sensor = 88	 output = 21
sensor = 87	 output = 21
sensor = 88	 output = 21
sensor = 87	 output = 21
sensor = 86	 output = 21
sensor = 85	 output = 21
sensor = 84	 output = 20
sensor = 82	 output = 20
sensor = 82	 output = 20
sensor = 79	 output = 19
sensor = 79	 output = 19
sensor = 77	 output = 19
sensor = 77	 output = 19
sensor = 75	 output = 18
sensor = 73	 output = 18
sensor = 72	 output = 17
sensor = 70	 output = 17
sensor = 70	 output = 17
sensor = 69	 output = 17
sensor = 68	 output = 16
sensor = 66	 output = 16
sensor = 64	 output = 15
sensor = 63	 output = 15
